Feature	Gain	Cover	Frequency
ctrx_quarter	0.190533216030168	0.0228338482887192	0.0300901284507842
active_quarter	0.0328038638069578	0.00781648588261741	0.00659995741962955
mtarjeta_visa_consumo	0.0319225025462304	0.00591092783986908	0.00826768859555745
mcuentas_saldo	0.0299655112466345	0.0268843279823828	0.0302320630189483
cliente_edad	0.0295084228729266	0.0666187681711014	0.0524093392945852
mrentabilidad_annual	0.0273248194253326	0.0410722967949404	0.0428997232275921
mcomisiones_otras	0.0269681591539532	0.0169186166033835	0.0213611525086935
numero_de_cliente	0.0261249417156142	0.0597167494131979	0.0518416010219289
cliente_antiguedad	0.0251555911888387	0.0444554457681165	0.0417997303243205
mcuenta_corriente	0.0249346514573669	0.0462813127190799	0.0357675111773472
Visa_Fvencimiento	0.0222748534396717	0.0331057509693532	0.0344901000638706
Master_fechaalta	0.0220435579340006	0.0249599720182952	0.0326094670356965
Master_Fvencimiento	0.0214416094728088	0.0370230611698546	0.0356610602512242
Visa_fechaalta	0.0204214475184682	0.0290229916825321	0.0314030232063019
mpasivos_margen	0.0200092173993206	0.0304340693213454	0.0306933503654815
Visa_mfinanciacion_limite	0.0197534574186213	0.0220175994004137	0.0255837059115748
chomebanking_trx	0.0196254450444971	0.0186333221909216	0.0301256120928252
Master_mfinanciacion_limite	0.0185486232578848	0.0182471509690051	0.024093392945852
mrentabilidad	0.0184379493264843	0.0277020706555706	0.0263288623944362
mactivos_margen	0.0178256590989716	0.0291445237941737	0.0249450003548364
cpayroll_trx	0.0175142488354973	0.0030961121155565	0.000887091051025477
mcaja_ahorro	0.0174228542438014	0.0183910146381276	0.0275707898658718
mcomisiones	0.0154111821792811	0.0153206473709865	0.0189127812078632
Visa_mpagospesos	0.0150693934917271	0.00811581750745096	0.012916045702931
mpayroll	0.0145077531549077	0.00284762634069619	0.00127741111347669
mtransferencias_recibidas	0.013940936807826	0.0121387667306897	0.0168902136115251
Visa_mlimitecompra	0.0136163429461067	0.0212828828855608	0.0214676034348166
Master_mlimitecompra	0.0118598537258518	0.0227079100381849	0.020509545099709
Visa_cconsumos	0.0112030283132508	0.00681022394692081	0.0101838052657725
Visa_mconsumospesos	0.0108373879518079	0.00860732688908719	0.0124902419984387
ccomisiones_otras	0.0102824769152587	0.0120292074628331	0.0154708679298843
mcaja_ahorro_dolares	0.00889787794303006	0.0155899107458418	0.0141934568164076
cproductos	0.00873739902583159	0.014576822228276	0.0125257256404797
Visa_mpagominimo	0.0079491271771836	0.0075039869878189	0.0117450855155773
Visa_msaldopesos	0.00765949472545185	0.00850200226820328	0.0109289617486339
Visa_msaldototal	0.00754658209690208	0.00634698215010254	0.0103257398339366
cprestamos_personales	0.00741050835119804	0.00824288850724649	0.00287417500532255
Visa_mconsumototal	0.00736263488146737	0.00564871819846125	0.00823220495351643
ctransferencias_recibidas	0.00714457386290662	0.00580809887771611	0.00713221205024484
mtransferencias_emitidas	0.00709675475470686	0.00601085949116262	0.00752253211269605
mprestamos_personales	0.00708434812997488	0.0113848100258617	0.00457738982329146
mcomisiones_mantenimiento	0.00698333555729996	0.0085430369751728	0.00702576112412178
thomebanking	0.0067325875032992	0.00675525777792164	0.00702576112412178
ctarjeta_visa_trx	0.00592979939273216	0.00547246662549487	0.00734511390249095
mautoservicio	0.0056399648448679	0.00530307021638434	0.00585480093676815
mtarjeta_visa_debitos_automaticos	0.00507342989636431	0.00396262017095094	0.00606770278901427
mcuenta_debitos_automaticos	0.00467449670050783	0.00633043618845001	0.0046483571073735
ctarjeta_debito_trx	0.00462007394377525	0.00345693111529555	0.0046483571073735
Master_msaldopesos	0.00451941904462947	0.0036656503208055	0.00333546235185579
ctarjeta_debito	0.00445903629297635	0.0096013752905846	0.00787736853310624
Visa_fultimo_cierre	0.00379860241593922	0.00629202049404864	0.0053935135902349
ccomisiones_mantenimiento	0.0036773540431571	0.00442093834448629	0.00319352778369172
ctransferencias_emitidas	0.00366535932238136	0.00458433103208075	0.00397416790859414
Master_mpagospesos	0.00345901056810969	0.00445059290781536	0.00266127315307643
ccallcenter_trx	0.003186622377205	0.00484084834519571	0.00145482932368178
mextraccion_autoservicio	0.00304249947226741	0.00402526586847417	0.00273224043715847
Visa_mpagado	0.00300140210925282	0.00351376865226415	0.00337094599389681
Master_mconsumospesos	0.00291636452693695	0.00256423293421964	0.00195160031225605
Master_status	0.00288147967883316	0.00265496870738045	0.000851607408984458
Visa_mconsumosdolares	0.00284490559222077	0.00244204042825438	0.00369029877226599
ccuenta_debitos_automaticos	0.00267940804470685	0.00244418106862455	0.00209353488042013
mpagomiscuentas	0.00249900499406654	0.00355399855066161	0.00322901142573274
Master_fultimo_cierre	0.00246101749440392	0.00443439444294814	0.00489674260166064
cmobile_app_trx	0.00245621475414586	0.00389626182379061	0.00521609538002981
Master_mpagominimo	0.00244900755958512	0.00144729703318632	0.00202256759633809
mdescubierto_preacordado	0.00234686661375276	0.00498360935135873	0.00312256049960968
Master_msaldototal	0.00213480908645854	0.00227674026912838	0.00319352778369172
ccaja_ahorro	0.00200004237464252	0.00336345748867464	0.0014903129657228
Visa_mpagosdolares	0.00187050657906273	0.00091485373369147	0.00145482932368178
cpagomiscuentas	0.00166141180795127	0.00156833873810929	0.00202256759633809
ctarjeta_visa_debitos_automaticos	0.0015252600256408	0.00247803267104904	0.00248385494287134
ccajas_consultas	0.00149208676094164	0.0039966628213916	0.000709672840820382
cseguro_accidentes_personales	0.001342474817399	0.00299423538485422	0.00120644382939465
internet	0.00131865543930962	0.00861487704651368	0.0031580441416507
mplazo_fijo_dolares	0.0012793013664013	0.00112282830323287	0.000283869136328153
cextraccion_autoservicio	0.00125996261529457	0.00176184330081955	0.00131289475551771
