Feature	Gain	Cover	Frequency
ctrx_quarter	0.140856896885603	0.0211031035274445	0.0193576496950081
mpasivos_margen	0.0809987665763085	0.01925827653525	0.0219718660525333
cpayroll_trx	0.0723451159025371	0.0232749496686475	0.0080916220590066
mcaja_ahorro	0.0688608877791907	0.0176286421067558	0.0210382173534172
mpayroll	0.0615796274019191	0.0344668838309378	0.0137557575003112
mtarjeta_visa_consumo	0.0496708256201431	0.0164776148745815	0.0169301630773061
Visa_msaldopesos	0.043832609876878	0.0153832233728283	0.0173036225569526
mcuentas_saldo	0.0401528821995281	0.0355139621791571	0.0375326777044691
mprestamos_personales	0.0323110003613527	0.0324382185957411	0.0150628656790738
mactivos_margen	0.0273350827996487	0.0352812641920226	0.0285696501929541
ctarjeta_visa_trx	0.0223709876479325	0.0169189891410823	0.0185484874891074
mrentabilidad_annual	0.0206536195153154	0.0254729131087585	0.0344827586206897
Visa_mpagominimo	0.0184425627338929	0.0123646827769245	0.0169301630773061
Visa_msaldototal	0.0179871011074808	0.0112486051017721	0.013569027760488
Visa_mpagospesos	0.0167219304052386	0.0123403885249446	0.0197311091746546
ccomisiones_otras	0.0140628155585907	0.0170769330758951	0.0151873521722893
mcuenta_corriente	0.0137646412805958	0.019388895630772	0.0240258931905888
cliente_edad	0.0117628936368351	0.0332441109650848	0.0335491099215735
mrentabilidad	0.0111678069748168	0.0202276706548622	0.0262044068218598
Visa_mconsumospesos	0.0110908098148174	0.0106954785802027	0.0164944603510519
Visa_fechaalta	0.0110881402415523	0.0203062442382654	0.0276360014938379
chomebanking_trx	0.00908017288847162	0.0188877741961035	0.0243371094236275
Master_fechaalta	0.00897325808462899	0.0227125409954092	0.0254574878625669
mautoservicio	0.00877395830289374	0.0101411106132289	0.0132578115274493
Master_Fvencimiento	0.00873355030929657	0.0286887118160017	0.0262666500684676
cproductos	0.00782187162955431	0.0156373154285609	0.0124486493215486
thomebanking	0.00778738566762932	0.0087308338499285	0.00914975725133823
mcaja_ahorro_dolares	0.00759735401563348	0.0246494514180554	0.022283082285572
mcomisiones_otras	0.007474457622542	0.0109795609315358	0.0193576496950081
Visa_Fvencimiento	0.00689313046735738	0.0139363969962968	0.0202290551475165
cliente_antiguedad	0.00649898154283654	0.0134754869171867	0.0191709199551849
numero_de_cliente	0.00626497077767473	0.0136756426038295	0.0220963525457488
mtransferencias_recibidas	0.00618764372028182	0.00972355853648505	0.0160587576247977
mcomisiones_mantenimiento	0.00597511062030391	0.00802239233675573	0.0125108925681564
cprestamos_personales	0.00588934245841413	0.0100655571848222	0.00479272998879622
mcomisiones	0.00541279284989836	0.0084991660538334	0.0156230548985435
ccallcenter_trx	0.00500977183335021	0.0175370750758631	0.00591310842773559
Master_mfinanciacion_limite	0.00468920440421369	0.0104591266749765	0.0170546495705216
ccomisiones_mantenimiento	0.00436744023981205	0.00283967595875512	0.00529067596165816
Master_mlimitecompra	0.00433934185247837	0.0110160935922561	0.0149383791858583
Master_mpagominimo	0.00412847614599296	0.00929285391945831	0.00715797335989045
mtransferencias_emitidas	0.00404761424607886	0.011539917046931	0.0129465952944106
mextraccion_autoservicio	0.00390288208661852	0.00625390771673857	0.00740694634632142
Visa_mfinanciacion_limite	0.00372262393330369	0.0108387964103345	0.0148761359392506
ctarjeta_debito_trx	0.00358746225580346	0.00557212598281855	0.00802937881239886
cextraccion_autoservicio	0.00354123743054692	0.00308924691026799	0.0040458110295033
Visa_cconsumos	0.0034168013534486	0.00715034344613195	0.0120751898419022
ctarjeta_master	0.00334675061145354	0.0148766627902795	0.00647329764720528
tcallcenter	0.00332616394877961	0.00999456658989266	0.00385908128968007
Master_status	0.0033040760777352	0.00211894126719183	0.00205402713805552
ccuenta_debitos_automaticos	0.00319546147558597	0.0167295487452886	0.00871405452508403
ctransferencias_recibidas	0.00301547729532644	0.00979287865708365	0.00977218971741566
mcuenta_debitos_automaticos	0.00298743124853338	0.00835366526192946	0.00877629777169177
Visa_mlimitecompra	0.00296200195376344	0.00812915403346003	0.011390514129217
ccaja_ahorro	0.00279686364637182	0.0195963382889695	0.00697124362006722
Visa_mconsumototal	0.00270263040534586	0.00625412940341793	0.0105813519233163
ctransferencias_emitidas	0.00253536870568768	0.00737804826682355	0.00784264907257563
Visa_mpagado	0.00246959445810951	0.0168534663828973	0.0101456491970621
mtarjeta_visa_debitos_automaticos	0.00233167065603253	0.00502666330015883	0.00877629777169177
mpagomiscuentas	0.00225987893899406	0.00911818959286407	0.0098344329640234
ccajas_trx	0.00207527925929548	0.0193945708097638	0.00585086518112785
ctarjeta_visa_debitos_automaticos	0.00182482791387121	0.00679264677281703	0.00634881115398979
Master_mpagospesos	0.00180051146210234	0.00861253792570069	0.00771816257936014
Master_msaldototal	0.00176520169401177	0.0038783471656693	0.00392132453628781
Master_msaldopesos	0.00175634158939753	0.00436511895198639	0.00373459479646458
ctarjeta_debito	0.00139013471145982	0.00515220707476263	0.00516618946844267
Visa_mconsumosdolares	0.00120055095723041	0.00263409546866429	0.00441927050914976
cseguro_accidentes_personales	0.00117894752898357	0.0124141189064233	0.00510394622183493
cmobile_app_trx	0.00114232000931778	0.00229231198681001	0.00354786505664135
ccaja_seguridad	0.00111749158034707	0.00984498545904908	0.00311216233038715
Master_mconsumospesos	0.000830331232509659	0.0023201193206383	0.00329889207021038
Visa_mpagosdolares	0.00069253875007038	0.00397672780185426	0.00354786505664135
Visa_fultimo_cierre	0.000562372587036366	0.00117550926581206	0.00192954064484004
cpagomiscuentas	0.000520019793051892	0.00262000402009232	0.00224075687787875
cplazo_fijo	0.000454762217417065	0.00267759300323457	0.000871405452508403
matm	0.00043843547564635	0.00146955447732371	0.00211627038466326
Master_mconsumototal	0.000390463534369288	0.00117028658845404	0.00186729739823229
Master_fultimo_cierre	0.000389504342640451	0.00119410486609303	0.00180505415162455
Visa_status	0.000379272556491462	0.00321278898456104	0.00143159467197809
mtarjeta_master_consumo	0.000278625272209397	0.000942007990474671	0.00149383791858583
mplazo_fijo_dolares	0.000252679681152785	0.00138911090157808	0.000684675712685174
Master_cconsumos	0.000198626102993769	0.000865346128671174	0.000995891945723889
ctarjeta_master_trx	0.000159361156858661	0.000338438621074428	0.000622432466077431
ctarjeta_visa	0.000153697372787674	0.000701893931895714	0.000435702726254201
Master_mconsumosdolares	0.00014493645858232	0.000319050164904897	0.000622432466077431
Visa_madelantopesos	0.000120227663634925	0.000399817142394544	0.000248972986430972
catm_trx	8.14691137484435e-05	0.000635493555268302	0.000871405452508403
Master_mpagosdolares	8.01262826214137e-05	0.000235722054248921	0.000497945972861945
Visa_delinquency	5.92930768046683e-05	0.000171074306427795	0.000124486493215486
Visa_msaldodolares	3.09410891467866e-05	0.000119791657293884	0.000186729739823229
Master_mpagado	3.0137828849451e-05	0.000124299721120765	0.000124486493215486
matm_other	2.20979147092932e-05	0.000287026872050768	0.000435702726254201
cseguro_vivienda	1.84693077418285e-05	4.63038271231983e-05	6.22432466077431e-05
Visa_cadelantosefectivo	1.66433191110281e-05	2.26459463169275e-05	6.22432466077431e-05
Master_cadelantosefectivo	1.61938104101659e-05	3.25070914308631e-05	6.22432466077431e-05
catm_trx_other	1.02848210139082e-05	0.000220633015619809	0.000186729739823229
Master_delinquency	5.2050847253961e-06	5.4813987532289e-05	6.22432466077431e-05
Master_msaldodolares	2.75941479502828e-06	2.06207732989505e-05	6.22432466077431e-05
mforex_sell	1.05894247106402e-06	3.98710013037002e-05	6.22432466077431e-05
cseguro_vida	6.48482127084999e-07	6.05634967636223e-05	6.22432466077431e-05
Visa_madelantodolares	1.27294438536364e-10	2.73730887445943e-05	6.22432466077431e-05
