Feature	Gain	Cover	Frequency
ctrx_quarter	0.158893135190441	0.0297166638504969	0.0258720769528443
mpasivos_margen	0.0583963423132175	0.0216505869197927	0.0273370556691912
cpayroll_trx	0.053897808702343	0.0205364519785193	0.00558350378683178
mcaja_ahorro	0.0524302577863154	0.0194284233499658	0.0314002985239648
mpayroll	0.051299503163747	0.0400971626492123	0.015451379291282
mtarjeta_visa_consumo	0.0403444574249367	0.0177483212881394	0.0204267787052905
mcuentas_saldo	0.0380433724176476	0.0268954585180395	0.0334457405052795
Visa_msaldototal	0.0370786487804876	0.0122510078160398	0.0159489192326828
mactivos_margen	0.0303619900271776	0.0267415555926246	0.0270606445906352
mprestamos_personales	0.0282962495493697	0.0216563794249515	0.0087069489745149
ctarjeta_visa_trx	0.0282109773371043	0.0166075914372584	0.0198186743324672
mrentabilidad_annual	0.0227082331246001	0.0178664400287724	0.0258720769528443
cliente_edad	0.0179578525080383	0.0242914687547615	0.0315937862789541
Master_fechaalta	0.0152644419713041	0.0249673101377312	0.0296036265133507
Visa_fechaalta	0.0129845211531022	0.0133399661679007	0.0224998617944607
chomebanking_trx	0.0128321888933314	0.0142846349033938	0.0214494996959478
mcuenta_corriente	0.0127554235570873	0.0120600688498738	0.0179943612139975
Master_Fvencimiento	0.0123795810864021	0.0167482177158977	0.0228591961965836
Visa_mpagominimo	0.0115189562125773	0.0141923226168119	0.0184089778318315
mrentabilidad	0.0111960287770091	0.011901476807176	0.0176903090275858
Visa_Fvencimiento	0.0110678158930642	0.0103656441160684	0.0202056498424457
Visa_msaldopesos	0.0105265597447058	0.0192954218077287	0.0206479075681353
mcomisiones	0.00999109110010008	0.0119409850666338	0.0186024655868207
mcomisiones_otras	0.00974592336889064	0.0115967685406584	0.0165293824976505
cliente_antiguedad	0.00943851480648967	0.0118724659167759	0.0173862568411742
numero_de_cliente	0.00942515649060376	0.0103252652936994	0.0190170822046548
ccomisiones_mantenimiento	0.0091771440956059	0.0218063794391234	0.00815412681740284
Master_mfinanciacion_limite	0.00889524958711051	0.0100132382250326	0.0174415390568854
Visa_mconsumospesos	0.00848392819764303	0.00950071062003385	0.0164741002819393
Visa_mpagospesos	0.00818407684150992	0.0091778971194306	0.0150644037813036
ccomisiones_otras	0.00801073019547805	0.0178007091546988	0.0166399469290729
mcomisiones_mantenimiento	0.00772017679423638	0.0147335619265074	0.0100613632594394
mcaja_ahorro_dolares	0.00769327989748654	0.0213022042891361	0.0213942174802366
Visa_mfinanciacion_limite	0.00748657474750918	0.0124746794977652	0.0154790203991376
cproductos	0.00741008608606503	0.00957496153810317	0.0113052131129416
mtransferencias_recibidas	0.00707436350800576	0.00743737979117729	0.0139311183592238
thomebanking	0.00690346182484516	0.00419571394299722	0.00519652827685334
Master_mlimitecompra	0.00642056457560284	0.00827827495318205	0.0128807562607109
mtransferencias_emitidas	0.00614734883772425	0.0120049331988284	0.0136547072806678
cprestamos_personales	0.00574590687985132	0.00517346069484265	0.00232185305987064
Master_status	0.00554510056126794	0.0153156468332595	0.00306816297197192
ctarjeta_debito_trx	0.00546346843128855	0.00975337632078509	0.015451379291282
mautoservicio	0.00537029975281798	0.0154364132548913	0.0188512355575211
ctransferencias_recibidas	0.00526022685742932	0.0133910718100171	0.00953618221018298
