max_depth	min_split	ganancia_promedio
9	60	6840000
9	60	7846667
9	60	9010000
9	60	8306667
9	60	6466667
9	60	6343333
9	60	6663333
9	60	6070000
10	900	8680000
10	900	6926667
10	900	9086667
10	900	9420000
10	900	9790000
10	900	9773333
10	900	8123333
10	900	7213333
10	900	7736667
10	850	8680000
10	850	6926667
10	850	8090000
10	850	8423333
10	850	8600000
10	850	8753333
10	850	7913333
10	850	6753333
10	850	7273333
10	700	8680000
10	700	6840000
10	700	7230000
10	700	7610000
10	700	7950000
10	700	7673333
10	700	7636667
10	700	6676667
10	700	7500000
10	650	8680000
10	650	6840000
10	650	7230000
10	650	7610000
10	650	8696667
10	650	7463333
10	650	7500000
10	650	6453333
10	650	7376667
10	550	8680000
10	550	6840000
10	550	7820000
10	550	8720000
10	550	7936667
10	550	7900000
10	550	6540000
10	550	5053333
10	550	5943333
10	400	8680000
10	400	6840000
10	400	7846667
10	400	8986667
10	400	8870000
10	400	8176667
10	400	6623333
10	400	5030000
10	400	5610000
10	250	8680000
10	250	6840000
10	250	7846667
10	250	8986667
10	250	8610000
10	250	8540000
10	250	6093333
10	250	5026667
10	250	5133333
10	100	8680000
10	100	6840000
10	100	7846667
10	100	8986667
10	100	8610000
10	100	7863333
10	100	5766667
10	100	4070000
10	100	4656667
10	60	8680000
10	60	6840000
10	60	7846667
10	60	8986667
10	60	8610000
10	60	7863333
10	60	5766667
10	60	4070000
10	60	4763333
11	900	8680000
11	900	6926667
11	900	9086667
11	900	9420000
11	900	9790000
11	900	9773333
11	900	7946667
11	900	6813333
11	900	7616667
11	850	8680000
11	850	6926667
11	850	8090000
11	850	8423333
11	850	8600000
11	850	8753333
11	850	7736667
11	850	6353333
11	850	7153333
11	700	8680000
11	700	6840000
11	700	7230000
11	700	7610000
11	700	7950000
11	700	7673333
11	700	7936667
11	700	6753333
11	700	7380000
11	650	8680000
11	650	6840000
11	650	7230000
11	650	7610000
11	650	8696667
11	650	7463333
11	650	7800000
11	650	6530000
11	650	7026667
11	550	8680000
11	550	6840000
11	550	7820000
11	550	8423333
11	550	7936667
11	550	7900000
11	550	6840000
11	550	5130000
11	550	6040000
11	400	8680000
11	400	6840000
11	400	7846667
11	400	8690000
11	400	8870000
11	400	8176667
11	400	6923333
11	400	5493333
11	400	5856667
11	250	8680000
11	250	6840000
11	250	7846667
11	250	8690000
11	250	8200000
11	250	8393333
11	250	6306667
11	250	5793333
11	250	5136667
11	100	8680000
11	100	6840000
11	100	7846667
11	100	8690000
11	100	8200000
11	100	7230000
11	100	5880000
11	100	5206667
11	100	4323333
11	60	8680000
11	60	6840000
11	60	7846667
11	60	8690000
11	60	8200000
11	60	7230000
11	60	5880000
11	60	5206667
11	60	4240000
5	900	10166667
5	900	9583333
5	900	9706667
5	900	9710000
5	900	10003333
5	900	10003333
5	900	8416667
5	900	8330000
5	900	8330000
5	850	10166667
5	850	9583333
5	850	9706667
5	850	9710000
5	850	10003333
5	850	10003333
5	850	8416667
5	850	8240000
5	850	8263333
5	700	10166667
5	700	9083333
5	700	9230000
5	700	9233333
5	700	9353333
5	700	9373333
5	700	8390000
5	700	8440000
5	700	8453333
5	650	10166667
5	650	9083333
5	650	9230000
5	650	9233333
5	650	9353333
5	650	9373333
5	650	8390000
5	650	8440000
5	650	8453333
5	550	10166667
5	550	9083333
5	550	9230000
5	550	9233333
5	550	9353333
5	550	9373333
5	550	8390000
5	550	8440000
5	550	8453333
5	400	10166667
5	400	9083333
5	400	9230000
5	400	8886667
5	400	9050000
5	400	9070000
5	400	8310000
5	400	8440000
5	400	8453333
5	250	10166667
5	250	9083333
5	250	9230000
5	250	8886667
5	250	9050000
5	250	9070000
5	250	8310000
5	250	8440000
5	250	8453333
5	100	10166667
5	100	9083333
5	100	9230000
5	100	8886667
5	100	9050000
5	100	9070000
5	100	8493333
5	100	8623333
5	100	8636667
5	60	10166667
5	60	9083333
5	60	9230000
5	60	8886667
5	60	9050000
5	60	9070000
5	60	8493333
5	60	8623333
5	60	8580000
6	900	9450000
6	900	8646667
6	900	9583333
6	900	9793333
6	900	10310000
6	900	10196667
6	900	9056667
6	900	9080000
6	900	9106667
6	850	9450000
6	850	8646667
6	850	9583333
6	850	9793333
6	850	10173333
6	850	10230000
6	850	9093333
6	850	8866667
6	850	8856667
6	700	9450000
6	700	8146667
6	700	9106667
6	700	9316667
6	700	9523333
6	700	9600000
6	700	9066667
6	700	9066667
6	700	9046667
6	650	9450000
6	650	8146667
6	650	9106667
6	650	9316667
6	650	9523333
6	650	9600000
6	650	9066667
6	650	9066667
6	650	9046667
6	550	9450000
6	550	8146667
6	550	9106667
6	550	9316667
6	550	9523333
6	550	9600000
6	550	8800000
6	550	8800000
6	550	8780000
6	400	9450000
6	400	8146667
6	400	9106667
6	400	8970000
6	400	9220000
6	400	9296667
6	400	8423333
6	400	8506667
6	400	8610000
6	250	9450000
6	250	8146667
6	250	9106667
6	250	8970000
6	250	9220000
6	250	9446667
6	250	8266667
6	250	8183333
6	250	8443333
6	100	9450000
6	100	8146667
6	100	9106667
6	100	8970000
6	100	9220000
6	100	9596667
6	100	8450000
