fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220521 193335	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	878	TRUE	0.0103968243072115	0.358527341710823	6639	763	0.0171862209764543	13831000	75
20220521 193758	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1067	TRUE	0.0102180819585293	0.406636699752833	6575	876	0.0169298651804208	13654000	76
20220521 194054	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	629	TRUE	0.0102320657404626	0.331973748007297	6550	605	0.0167428800382252	13613000	77
20220521 194417	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	674	TRUE	0.0100814253190445	0.401325565709287	5525	778	0.0171898079194992	13814000	78
20220521 194507	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	129	TRUE	0.0410211369365458	0.201075528351599	2678	854	0.0237032093574327	12714000	79
20220521 194628	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	251	TRUE	0.0252783367092386	0.38491432937324	5627	408	0.0172484642872805	13560000	80
20220521 194643	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	32	TRUE	0.158110570155451	0.934108182365964	6266	17	0.0156439780882478	12700000	81
20220521 194654	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	15	TRUE	0.29874532842003	0.997178145447459	7999	16	0.0270512564881145	11763000	82
20220521 194707	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	15	TRUE	0.291722735285686	0.202563970992172	5684	1014	0.0180742498813326	12860000	83
20220521 194730	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	57	TRUE	0.144912963274425	0.299229255587453	5709	759	0.0167041900632203	13308000	84
20220521 195048	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	629	TRUE	0.0101154649557652	0.490744557485252	6345	16	0.0149450061423639	13535000	85
20220521 195354	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	651	TRUE	0.0101340108084801	0.339156318251301	6320	745	0.0161867533387569	13807000	86
20220521 195653	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	509	TRUE	0.0115417305426747	0.578265421529606	6645	346	0.0160019904541139	13660000	87
20220521 195922	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	526	TRUE	0.0100818896170308	0.687760149879503	8000	60	0.00846373038985358	11099000	88
20220521 200131	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	362	TRUE	0.0106194276967881	0.624614163111269	8000	431	0.0199847214326049	12698000	89
20220521 200148	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	34	TRUE	0.299898593681682	0.998244958191526	7968	1024	0.0188009436307549	12943000	90
20220521 200427	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	685	TRUE	0.0106543637126052	0.892383263137213	6780	746	0.0170266465757328	13083000	91
20220521 200442	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	18	TRUE	0.299653186515481	0.658910198740824	7086	791	0.0175584162495986	13033000	92
