Feature	Gain	Cover	Frequency
ctrx_quarter	0.169825881924251	0.0497963201334421	0.0387502536011361
cpayroll_trx	0.0827693635548277	0.0352696889934947	0.00973828362751065
mpasivos_margen	0.0824364030952562	0.0311949066419929	0.0319875566375871
mpayroll	0.0641589308995934	0.0669165276613966	0.0228579157367958
mtarjeta_visa_consumo	0.0616256592915615	0.0266277728551533	0.0274565496720092
mcaja_ahorro	0.0541184646211501	0.0228562331234459	0.0267802799756543
mprestamos_personales	0.0304832044845836	0.0299698857317981	0.014336917562724
mcuentas_saldo	0.0280465855886341	0.0324826621205799	0.0343545005748292
mrentabilidad_annual	0.0272824532218732	0.0227412146402137	0.0304321363359708
Visa_msaldototal	0.0256497762590004	0.0250903458488821	0.0263068911882059
Visa_msaldopesos	0.0250494783463762	0.0264316376862246	0.0277270575505512
mactivos_margen	0.0245234076123531	0.0266227079147513	0.0264421451274768
Master_fechaalta	0.0174805697702689	0.0328011036478575	0.03584229390681
ctarjeta_visa_trx	0.0169340741346238	0.011677421346042	0.0127814972611077
chomebanking_trx	0.0136042893124311	0.0184419628747265	0.0236018124027862
Visa_fechaalta	0.0131938462471919	0.0127836746138122	0.0224521539189829
mcomisiones_otras	0.0117400899929846	0.0120583829121668	0.018191654831947
numero_de_cliente	0.0117064058687456	0.012658199347612	0.0204233448299182
mcaja_ahorro_dolares	0.0112765048982915	0.0284762963057068	0.0311084060323257
mrentabilidad	0.0105981666500172	0.0110567710270633	0.0199499560424697
cliente_edad	0.0104475279704644	0.0254674867459663	0.0278623114898221
Visa_Fvencimiento	0.0100166185409254	0.0101061987854383	0.0169743693785081
Visa_mpagominimo	0.00991523477891111	0.01335915931257	0.0172448772570501
Master_Fvencimiento	0.00970984719868828	0.0211683044471889	0.0229255427064313
mcuenta_corriente	0.00960131710496472	0.0109451584557513	0.0160275918036113
ccomisiones_otras	0.00953962635652287	0.0154715745349376	0.0150131872590789
cliente_antiguedad	0.00927706548730006	0.0104595636795138	0.0165009805910597
mcomisiones	0.00847390064598007	0.00904501306723977	0.0155542030161628
Visa_mconsumospesos	0.00798920669707976	0.00840713091794614	0.0160952187732468
Master_mfinanciacion_limite	0.00722136366121047	0.00825181357045825	0.0153513221072564
Visa_mpagospesos	0.00680407882255122	0.0132233273771895	0.0178535199837695
mtransferencias_recibidas	0.00666846038642534	0.00961415586401781	0.0140664096841821
ctarjeta_visa_trx2	0.00664015252838252	0.00878608407890148	0.010617434232772
Visa_mfinanciacion_limite	0.00576506436599613	0.00693297378236064	0.0112260769594914
mtarjeta_visa_debitos_automaticos	0.00502676834905439	0.00682840799581935	0.0105498072631365
mpagomiscuentas	0.0049852018796392	0.0135339661584424	0.00994116453641712
mtransferencias_emitidas	0.00488792852699846	0.00662005281537603	0.0117670927165754
Master_mpagospesos	0.00482047620647488	0.016836413543774	0.0102792993845946
ccaja_ahorro	0.00472005252683699	0.0202120808844054	0.00683032393318455
cproductos	0.00457974060717547	0.00599760453449588	0.00662744302427808
mautoservicio	0.00447930781435673	0.0210626537540911	0.0235341854331507
Master_mlimitecompra	0.00437018321621567	0.00653593475918713	0.00967065665787516
ctarjeta_debito_trx	0.00374120790165301	0.0166660607398849	0.0192060593764793
cprestamos_personales	0.00372945047939587	0.00108700485973165	0.00155542030161628
Visa_mlimitecompra	0.00366831315452115	0.00995581357434838	0.00994116453641712
ctransferencias_recibidas	0.00325210871134965	0.0115225044537049	0.00595117332792318
mplazo_fijo_dolares	0.00258009780273727	0.0173833045188826	0.00412524514776493
Master_msaldototal	0.00252365165861399	0.00501113639213536	0.00534253060120376
Visa_cconsumos	0.00248663639553884	0.00310899485728549	0.00669506999391357
Visa_mconsumototal	0.00244121471220085	0.00427817883474637	0.00737133969026848
ccaja_seguridad	0.00241539632721875	0.00847862646433117	0.0029079596943261
thomebanking	0.00241034062491906	0.00269604591442232	0.00344897545141002
Master_msaldopesos	0.00236438531720462	0.00511340569097521	0.00480151484411984
ccallcenter_trx	0.0021403333455703	0.0105124482770799	0.00426049908703591
mcomisiones_mantenimiento	0.00212829103027135	0.00305085122115754	0.00459863393521336
mcuenta_debitos_automaticos	0.0021107478166551	0.005070467091746	0.00595117332792318
Visa_mpagado	0.00189364811004394	0.00771894056876571	0.00527490363156827
ctarjeta_debito	0.00173485584425548	0.00614850053021692	0.0057482924190167
ccuenta_debitos_automaticos	0.00149874133634781	0.00327243572354647	0.003584229390681
mtarjeta_visa_descuentos	0.00136933463535186	0.0175525438122759	0.00987353756678163
ccomisiones_mantenimiento	0.00128962682579541	0.00194540499310447	0.00304321363359708
mextraccion_autoservicio	0.00118652510994328	0.00725663961484518	0.0116994657469399
mtarjeta_master_consumo	0.00107974769555097	0.00488612696151872	0.00277270575505512
ctransferencias_emitidas	0.0010708651622491	0.00174431112697694	0.00284033272469061
cpagomiscuentas	0.00101426036759452	0.00294413400975003	0.0029079596943261
Master_mpagominimo	0.000979569558849398	0.00175779379809959	0.00256982484614864
Visa_mconsumosdolares	0.000866423940000327	0.00192270981037521	0.00250219787651315
cextraccion_autoservicio	0.000856932086436335	0.00289995522543649	0.00486914181375533
Master_fultimo_cierre	0.000802684562918748	0.00166245891141163	0.00243457090687766
ctarjeta_visa_debitos_automaticos	0.000724055291431578	0.00216191842567579	0.00209643605870021
tcallcenter	0.000677638557417883	0.00244821525454868	0.00128491242307432
cseguro_accidentes_personales	0.000672305002706769	0.00192505737653977	0.00135253939270981
Master_mconsumospesos	0.000664947448523714	0.00181796218450524	0.00304321363359708
Master_cconsumos	0.000649515138612475	0.00157900283210464	0.00169067424088727
matm	0.000607139938447764	0.00221024886747095	0.003584229390681
Master_mpagosdolares	0.000520836480146327	0.00113110396164274	0.00155542030161628
Master_mconsumototal	0.000484698397700165	0.00111038040758955	0.00175830121052276
cmobile_app_trx	0.000442468095062688	0.000222334334227396	0.000541015757083925
Visa_fultimo_cierre	0.000430342888367611	0.00109983372652649	0.00155542030161628
catm_trx	0.000351995081594349	0.00150762783089255	0.00135253939270981
ctarjeta_master_trx	0.000238446278217387	0.000220448517369356	0.000541015757083925
Visa_mpagosdolares	0.000237979235819711	0.002222217572947	0.00148779333198079
ctarjeta_visa_descuentos	0.000225100061859635	0.0055516486887707	0.00392236423885846
cplazo_fijo	0.000168195068080828	0.000884319388693607	0.000202880908906472
Visa_msaldodolares	0.000118966107802188	0.000119680925344956	0.000202880908906472
Visa_delinquency	0.000102393004132081	0.000521225068964813	0.000338134848177453
ccajas_consultas	8.84593995328887e-05	0.000976955289390815	0.000202880908906472
mttarjeta_master_debitos_automaticos	8.24486816446338e-05	0.000349803703627442	0.000405761817812944
Master_msaldodolares	7.18000590311641e-05	3.9164922374609e-05	6.76269696354906e-05
Master_status	6.50319173673051e-05	5.10089964006723e-05	0.000202880908906472
Master_mconsumosdolares	5.79572333034096e-05	0.000241919860122487	0.000676269696354906
