Feature	Gain	Cover	Frequency
mpayroll	0.247566981409955	0.124099036543144	0.0423423423423423
Visa_msaldopesos	0.101896422223868	0.012696142860887	0.0116366366366366
Master_mpagospesos	0.0683843630998969	0.0155921249394742	0.0127627627627628
Visa_mlimitecompra	0.0521330638630599	0.0028113917876776	0.00525525525525526
mtransferencias_recibidas	0.0470768491406302	0.0105629745539706	0.0141891891891892
Visa_cconsumos	0.0469197929089934	0.0165768368438703	0.0107357357357357
Master_msaldototal	0.041319506686743	0.00548648429061472	0.00570570570570571
mcuentas_saldo	0.0333746012475658	0.0150084760752631	0.0241741741741742
Visa_mpagosdolares	0.030021838076028	0.00416701321213468	0.0033033033033033
Visa_mpagospesos	0.0277786749381042	0.00753059389255257	0.016966966966967
cliente_antiguedad	0.0239269735744197	0.00742969145651477	0.0254504504504505
mtarjeta_visa_debitos_automaticos	0.0229612603318492	0.0093943917914373	0.00968468468468468
mpasivos_margen	0.0200711062128648	0.0170631930496835	0.0247747747747748
ctarjeta_visa_debitos_automaticos	0.0194956743566843	0.00168579536318922	0.0039039039039039
Master_fechaalta	0.0180798585809264	0.0163443118684487	0.0267267267267267
mplazo_fijo_dolares	0.0176235073480811	0.00740931782478623	0.00315315315315315
Visa_Fvencimiento	0.0117820735525196	0.00972951895256215	0.0244744744744745
mtransferencias_emitidas	0.00975719052261841	0.00407924538233165	0.00923423423423423
Visa_msaldototal	0.00941821248672528	0.00980530481278783	0.0117867867867868
Visa_mconsumospesos	0.00922627048531217	0.0398886250811209	0.0271771771771772
Visa_msaldodolares	0.00874729921817684	0.0124829401256483	0.00705705705705706
mcomisiones	0.00805689474171184	0.00589258038106919	0.0142642642642643
Master_mpagominimo	0.00755131438508891	0.00486098225480235	0.00645645645645646
mrentabilidad	0.00688851200586823	0.0124202226729304	0.0241741741741742
mcomisiones_otras	0.00659641388185109	0.0067502627695188	0.00975975975975976
Master_mconsumospesos	0.00649246894150724	0.010655555420627	0.00840840840840841
mactivos_margen	0.00628072358750338	0.0174487130181858	0.0235735735735736
Visa_madelantopesos	0.00617508291365388	1.44468986454247e-06	7.50750750750751e-05
numero_de_cliente	0.00604786339415537	0.0128978873752998	0.0375375375375375
mcaja_ahorro_dolares	0.00576381667615602	0.0110087256288876	0.0162912912912913
mcaja_ahorro	0.00551224157599957	0.0077548303979562	0.0172672672672673
Visa_mpagominimo	0.0047135164419554	0.00709432481176008	0.0153903903903904
ctarjeta_visa_trx	0.00451267556923174	0.0137822556387944	0.00855855855855856
cliente_edad	0.00441620458135561	0.0119730405372986	0.0261261261261261
mcuenta_debitos_automaticos	0.00301686889168287	0.0115218261203872	0.00900900900900901
ctrx_quarter	0.00289219938554789	0.0145648842470575	0.0256756756756757
mtarjeta_visa_consumo	0.00285090034308653	0.0335914848094667	0.0174924924924925
matm_other	0.00278306657671364	0.00373117442306734	0.00255255255255255
Visa_fechaalta	0.00261092313646942	0.0158791022618522	0.0245495495495496
matm	0.00259117501530476	0.00194048133596694	0.0027027027027027
ccajas_consultas	0.00258432122278556	0.000638556814170534	0.00165165165165165
Master_fultimo_cierre	0.00246503279558862	0.00261927529399278	0.00397897897897898
mcuenta_corriente	0.00240912481109246	0.0146191516269828	0.0210960960960961
Master_mfinanciacion_limite	0.00224302305869553	0.00475760126054681	0.0186936936936937
ctarjeta_visa_trx2	0.0019586735064603	0.000900302686474985	0.00435435435435435
mrentabilidad_annual	0.00194303789365545	0.0161867744744866	0.0308558558558559
Visa_mfinanciacion_limite	0.00187278819426339	0.00360913122887697	0.0127627627627628
minversion2	0.00183121723664436	0.00418814228815896	0.0015015015015015
ctransferencias_emitidas	0.00180523028011642	0.00190761561505929	0.00548048048048048
Visa_mpagado	0.00161683075146505	0.0137226027977299	0.00923423423423423
ccallcenter_trx	0.00159565076434306	0.00761271925439408	0.00510510510510511
ccuenta_debitos_automaticos	0.00146411099959358	0.00331364152902214	0.0033033033033033
mtarjeta_visa_descuentos	0.00137598254378447	0.056306988013745	0.0223723723723724
mextraccion_autoservicio	0.00132031711136797	0.00536363308255133	0.00397897897897898
Master_Fvencimiento	0.00116712753485563	0.00915536960566799	0.0245495495495496
Master_mpagado	0.000911887517217094	0.0139699134535172	0.00540540540540541
Master_cconsumos	0.000909108066893262	0.00115886907286461	0.00345345345345345
Master_mlimitecompra	0.0008934497445747	0.00355650713499712	0.0033033033033033
mautoservicio	0.000843475905032792	0.00376228003664676	0.00758258258258258
Visa_mconsumosdolares	0.000646856224181945	0.00837783051129426	0.00638138138138138
cproductos	0.000548461668726941	0.00348533376842252	0.00788288288288288
mcomisiones_mantenimiento	0.000522153309869783	0.00441014556003883	0.00435435435435435
chomebanking_trx	0.000520902627415889	0.00956431029435978	0.0171171171171171
cextraccion_autoservicio	0.00050937778724307	0.0031520368073956	0.00397897897897898
cpagomiscuentas	0.000446314068942759	0.00790410463317822	0.00405405405405405
ccomisiones_otras	0.000284878165537952	0.00919573135889166	0.0105855855855856
Master_mpagosdolares	0.000277574291337768	0.0483191361499151	0.0157657657657658
ctarjeta_debito_trx	0.000265381121577906	0.0057915046601285	0.00653153153153153
mtarjeta_master_consumo	0.000260650820348454	0.0141586693882988	0.00690690690690691
ctransferencias_recibidas	0.00019007775299487	0.00285503232490651	0.00503003003003003
ctarjeta_master_trx	0.000124087180601127	0.00454954450281751	0.003003003003003
mprestamos_personales	0.000110047947250038	0.0125969070751511	0.00818318318318318
Master_msaldopesos	9.59076627669027e-05	0.00681186847302821	0.00533033033033033
mpagomiscuentas	9.48017266007095e-05	0.0103897208034229	0.00623123123123123
cpayroll_trx	9.46893076581683e-05	0.00585746195642398	0.00352852852852853
mttarjeta_master_debitos_automaticos	7.39986678955919e-05	0.00246006930270737	0.003003003003003
Visa_fultimo_cierre	7.09175124512895e-05	0.000732397403660229	0.00285285285285285
ctarjeta_visa_descuentos	5.3688315952983e-05	0.0158673792461185	0.00578078078078078
